,id,alias,name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,distance,category,latitude,longitude,is_pickup,is_delivery,is_restaurant_reservation,address1,address2,address3,city,zip_code,country,state,display_address
0,LvzN8TrUGJRj_UkJV0cAtQ,empanada-mama-hells-kitchen-new-york,Empanada Mama - Hell's Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/KskFKH3-97U1hGd1IELAjw/o.jpg,False,https://www.yelp.com/biz/empanada-mama-hells-kitchen-new-york?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,2420,4.0,$,+12126989008,(212) 698-9008,6577.4830841993,Latin American,40.76441,-73.9885,delivery,pickup,,765 9th Ave,,,New York,10019,US,NY,"['765 9th Ave', 'New York, NY 10019']"
1,C2o3Iw-DXjoUJFgQIbiqkQ,bocaphê-new-york-3,BoCaphe,https://s3-media4.fl.yelpcdn.com/bphoto/aH2xCJflhJsEujiEgfXNLA/o.jpg,False,https://www.yelp.com/biz/bocaph%C3%AA-new-york-3?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,1511,4.0,$$,+16468821939,(646) 882-1939,1866.3436634085,Vietnamese,40.722046,-73.997557,restaurant_reservation,delivery,pickup,222 Lafayette St,,,New York,10012,US,NY,"['222 Lafayette St', 'New York, NY 10012']"
2,jnEv25Y2DosTq2sNnvmC9g,los-tacos-no-1-new-york,Los Tacos No.1,https://s3-media2.fl.yelpcdn.com/bphoto/FU44TYl3PzXsE06G4W5aog/o.jpg,False,https://www.yelp.com/biz/los-tacos-no-1-new-york?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,2950,4.5,$,+12122560343,(212) 256-0343,4244.3586992506,Tacos,40.7425547,-74.0060838,,,,75 9th Ave,,,New York,10011,US,NY,"['75 9th Ave', 'New York, NY 10011']"
3,SULHf6nGQ8sK0UpG1XU30w,los-tacos-no-1-new-york-3,Los Tacos No.1,https://s3-media4.fl.yelpcdn.com/bphoto/5wEe4FCwda16knmBHSsX0Q/o.jpg,False,https://www.yelp.com/biz/los-tacos-no-1-new-york-3?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,1745,4.5,$,+12125744696,(212) 574-4696,5815.0274240339,Tacos,40.7575067,-73.9877717,,,,229 W 43rd St,,,New York,10036,US,NY,"['229 W 43rd St', 'New York, NY 10036']"
4,ysqgdbSrezXgVwER2kQWKA,julianas-pizza-brooklyn-5,Juliana's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/clscwgOF9_Ecq-Rwsq7jyQ/o.jpg,False,https://www.yelp.com/biz/julianas-pizza-brooklyn-5?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,2173,4.5,$$,+17185966700,(718) 596-6700,323.2050630823,Pizza,40.702615303,-73.9934159994,,,,19 Old Fulton St,,,Brooklyn,11201,US,NY,"['19 Old Fulton St', 'Brooklyn, NY 11201']"
5,tsiC3VpO-hZEb98Qk3p-DQ,amy-ruths-new-york,Amy Ruth's,https://s3-media2.fl.yelpcdn.com/bphoto/aX-TMDOSS2vO-0L47FoZ0Q/o.jpg,False,https://www.yelp.com/biz/amy-ruths-new-york?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,2590,4.0,$$,+12122808779,(212) 280-8779,11417.0524563689,Southern,40.80248,-73.95038,delivery,pickup,,113 W 116th St,,,New York,10026,US,NY,"['113 W 116th St', 'New York, NY 10026']"
6,r-izNItUH4ugnFodUOZX2A,international-wings-factory-new-york,International Wings Factory,https://s3-media2.fl.yelpcdn.com/bphoto/Nh8Pxzor3wkBzNyA3hpk7w/o.jpg,False,https://www.yelp.com/biz/international-wings-factory-new-york?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,431,4.5,$$,+12123482627,(212) 348-2627,9225.2378712245,Chicken Wings,40.7801834539,-73.9467542692,delivery,pickup,,1762 1st Ave,,,New York,10128,US,NY,"['1762 1st Ave', 'New York, NY 10128']"
7,C8j0q4Ma_S5hBGuAI-aaww,di-fara-pizza-brooklyn,Di Fara Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/4dfe9qpe20P-vi3qFjWd4Q/o.jpg,False,https://www.yelp.com/biz/di-fara-pizza-brooklyn?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,3436,4.0,$$,+17182581367,(718) 258-1367,9352.2690728673,Pizza,40.625093,-73.961531,delivery,pickup,,1424 Ave J,,,Brooklyn,11230,US,NY,"['1424 Ave J', 'Brooklyn, NY 11230']"
8,G4qZvheX74VwYvek7I8iQg,buntopia-brooklyn,Buntopia,https://s3-media2.fl.yelpcdn.com/bphoto/mL7sje7bFV_79mg4pJK8eA/o.jpg,False,https://www.yelp.com/biz/buntopia-brooklyn?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,289,4.5,$$,+13474353660,(347) 435-3660,5191.6743104291,Asian Fusion,40.69598,-73.93398,delivery,pickup,,994 Broadway,,,Brooklyn,11221,US,NY,"['994 Broadway', 'Brooklyn, NY 11221']"
9,gHdejB1Mx2P5UjAgZ6BT2w,cheeky-sandwiches-new-york,Cheeky Sandwiches,https://s3-media3.fl.yelpcdn.com/bphoto/XGGQOLhQIL-Y8Y-CdHeOPg/o.jpg,False,https://www.yelp.com/biz/cheeky-sandwiches-new-york?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,1155,4.5,$,+16465048132,(646) 504-8132,1165.1002553886,Sandwiches,40.7158,-73.99169,delivery,pickup,,35 Orchard St,,,New York,10002,US,NY,"['35 Orchard St', 'New York, NY 10002']"
10,AR_0QV4O12sHojkky_IMkg,canal-street-market-new-york,Canal Street Market,https://s3-media2.fl.yelpcdn.com/bphoto/gXqb8XpUt3bkKgjATIXFTQ/o.jpg,False,https://www.yelp.com/biz/canal-street-market-new-york?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,191,4.0,$$,+16466941655,(646) 694-1655,1601.4722895918,Food Court,40.71897,-74.00102,,,,265 Canal St,,,New York,10013,US,NY,"['265 Canal St', 'New York, NY 10013']"
11,xEnNFXtMLDF5kZDxfaCJgA,the-halal-guys-new-york-2,The Halal Guys,https://s3-media1.fl.yelpcdn.com/bphoto/24lb-VP2zVySsY9cq45ETw/o.jpg,False,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,9433,4.0,$,+13475271505,(347) 527-1505,6395.6251629506,Food Stands,40.76477,-73.98614,,,,W 53rd St 6th Ave,,,New York,10019,US,NY,"['W 53rd St 6th Ave', 'New York, NY 10019']"
12,roT-M9epcHDOGjYgGmWpoA,ras-plant-based-brooklyn,Ras Plant Based,https://s3-media1.fl.yelpcdn.com/bphoto/ZwL6l9QG3gF8ypiEWIOdzg/o.jpg,False,https://www.yelp.com/biz/ras-plant-based-brooklyn?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,4,5.0,,+17186226220,(718) 622-6220,4769.8683191596,Ethiopian,40.67341,-73.956712,delivery,pickup,,739 Franklin Ave,,,Brooklyn,11238,US,NY,"['739 Franklin Ave', 'Brooklyn, NY 11238']"
13,bGcuT4Pkpeu2AD7GnM8Bhg,avila-s-taqueria-and-restaurant-west-new-york,Avila’s Taqueria & Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/vQwptP5l8WYzMbORLrXmug/o.jpg,False,https://www.yelp.com/biz/avila-s-taqueria-and-restaurant-west-new-york?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,2,5.0,,+12014303275,(201) 430-3275,9514.2074272193,Mexican,40.79054,-74.0051206,delivery,pickup,,6611 Park Ave,,,West New York,7093,US,NJ,"['6611 Park Ave', 'West New York, NJ 07093']"
14,g_xU-3gfa3urAyi98LFHPA,chubby-princess-new-york-2,Chubby Princess,https://s3-media3.fl.yelpcdn.com/bphoto/oVGtm1DM5W_1Ae9my5KIdA/o.jpg,False,https://www.yelp.com/biz/chubby-princess-new-york-2?adjust_creative=FD2XoK_GD3s4xtuvOGb8-g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FD2XoK_GD3s4xtuvOGb8-g,32,4.0,,+19172617445,(917) 261-7445,904.7698386146,Chinese,40.70737,-74.004588,delivery,,,200 Water St,,,New York,10038,US,NY,"['200 Water St', 'New York, NY 10038']"
